id,action,purpose,why,contact,url,agency,labeler
8b59dc6727c1,Use 311 or another channel,channel,Individual tree safety issues go through 311 or NYC Tree Map reporting.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8b61d510a24f,Contact agency,discuss,DOT will continue working with the community board on this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8b7142a10a9c,Contact agency,clarify,DOT needs specific location details from the board to investigate further.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8b83fba4efb7,Use 311 or another channel,channel,DSNY already operates a Greenpoint special waste drop-off and bulk pickup.,,https://www.nyc.gov/site/dsny/what-we-do/programs/special-waste-drop-off.page,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8b97486b34be,Contact agency,clarify,DOT needs specific corridors or intersections to investigate this further.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8bca40d6e25b,Contact elected officials,advocacy,DFTA says it continues to advocate for senior issues at all levels of government.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8bcfe752674a,No follow-up needed,none,H+H says this project was completed using the hospital's existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8bd08f368792,Track with agency,status,HPD already funds deep-affordability housing; will continue this ongoing commitment.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8bd240c891e9,Track with agency,status,Parks has allocated funding to reconstruct Morningside Park's 114th/116th/122nd St stairs.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8beea2c96bec,Contact agency,discuss,"Not recommended for funding; OMB says further investigation needed, contact agency.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8bf7313131f9,No follow-up needed,none,HPD says this request has already been completed; offers 311/NYPD as ongoing channels.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c027ba12177,Contact agency,clarify,EDC needs more information to understand this request; cites ongoing FiDi/Seaport planning.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c14c3371fad,Contact elected officials,funding,DPR supports restroom improvements but lacks capital funding.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8c14dab294d7,Contact agency,redirect,DHS refers permanent housing funding requests to HRA and HPD.,,,Human Resources Administration,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8c1d25c6acb4,Contact elected officials,funding,Parks lacks capital funding; OMB says resubmit for future consideration.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c2610ad4b31,Contact agency,discuss,EDC says NYCOTI and SBS would better fulfill this; contact the agency for more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c2d4a28b3b8,Contact agency,reconsider,H+H says Bellevue already has adequate AV solutions and renovated gathering spaces.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c40914cdebf,Track with agency,status,FDNY citywide funds increased in the FY24 Preliminary Budget; allocated after adoption.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c47f3bc0f49,Use 311 or another channel,channel,DCLA's Cultural Development Fund grant process funds this; apply online.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8c4e624b9a84,Contact agency,reconsider,DOT says only it will continue providing service with existing resources and personnel.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
8c52d906eafb,Track with agency,status,DFTA will launch a public awareness campaign on elder abuse prevention.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c5b1f067717,No follow-up needed,none,HPD says this is completed; Partners in Preservation now provides tenant education.,,https://www.nyc.gov/site/hpd/services-and-information/partners-in-preservation.page,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c5cae3a5c50,Contact agency,discuss,Resurfacing and milling requests go to NYCDOT Borough Directors of Maintenance.,NYCDOT Borough Directors of Maintenance,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8c6a881afff4,Contact agency,discuss,NYPD project is in FY21 estimates; OMB says it's funded only in part.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c7f791a3fa5,Track with agency,status,DOT project is included in an agency lump sum allocation; check the Commitment Plan.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c8370ce8253,Contact agency,discuss,ACS asks board to contact its Office of Intergovernmental Affairs.,"Office of Intergovernmental Affairs, 212-341-0999",,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8c8bb18e2b40,Contact elected officials,funding,Parks lacks capital funding for the Woods Playground restroom.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8c93e2b5bdf7,Contact agency,reconsider,DHS provides shelter and placements but does not develop permanent housing.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8ca1370fdf79,Track with agency,status,City invested $12M via SEED Fund for Steinway Street streetscape improvements.,,https://www.nyc.gov/site/planning/about/press-releases/pr-20231122.page,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8ca70890dcd3,Track with agency,status,DOT's HWK700B capital project includes curb extensions and pedestrian safety islands.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8caa782152a0,Contact elected officials,funding,NYCHA has done $98M of $512M in capital need; seeks elected officials' help for the rest.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8caa81951b1d,Contact agency,discuss,NYPD funds maintained in the FY27 Preliminary Budget; OMB says contact agency to investigate.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8cb6defe10bf,Track with agency,status,Queens Public Library is funded for 6-day service; still seeking funding for 7-day service.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8cc8fb53f27e,Contact elected officials,funding,NYCHA's REES job programs exist; seeks elected partners to identify more funding.,,https://opportunitynycha.org/what-is-rees/,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8cca42ec3747,Contact agency,redirect,Not in city budget jurisdiction; directs board to OMB.,OMB's Community Board Unit,,Office of Management & Budget,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8ccb5e667bd8,Track with agency,status,Parks will discuss this further with the Madison Square Park Conservancy.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
8cd32708d65c,Contact agency,discuss,Curb replacement requests go to the Borough Commissioner for site inspection.,Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8ce76a568c82,Contact elected officials,funding,"BPL's Gravesend project is funded; $1M more needed, OMB recommends elected officials.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8cfc3d433943,Contact agency,discuss,Agency declines but asks board to contact it directly for more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d106a1344f6,Contact elected officials,funding,Parks lacks capital funding; recommends board advocate with elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d15526ea493,Track with agency,status,Dog run will be built when the playground is reconstructed under Coastal Resiliency.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d1c57fe3974,Contact elected officials,funding,"Parks needs capital funding; cannot be funded in FY26, resubmit later.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d1e96dca7e4,Contact agency,discuss,DOE says this isn't capital-eligible; contact the agency directly for more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d24a215b565,Contact agency,discuss,SCA says the electrical upgrade is in scope for part of this Reso A project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d28d2149a6b,No follow-up needed,none,DOT has installed wider e-bike lanes on 3rd/9th/10th Avenues; NYPD enforces.,,https://www.nyc.gov/html/dot/html/bicyclists/ebikes.shtml,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d5a5777ca06,Track with agency,status,Project has been completed or will finish by FY 2024.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d5d2e236756,Track with agency,status,ACS has already increased housing resources and support for foster youth.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d618e02268d,Contact agency,clarify,SBS can't expand the unit now; OMB says board should provide additional information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d6f390e9d8f,Contact agency,clarify,DYCD needs board to identify specific employer partners to facilitate.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d747f843d0c,Contact agency,discuss,SBS offers training/outreach; contact intergov@sbs.nyc.gov to coordinate.,intergov@sbs.nyc.gov,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d7a594d718c,Track with agency,status,Parks will try to include irrigation in the upcoming bluestone pavement/sidewalk project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d85165e2ba4,Contact agency,discuss,Tree planting is ongoing citywide in CB7; OMB says contact agency for a status update.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8d8b2266ea66,Contact agency,redirect,DOHMH monitors air quality for surveillance; DEP handles complaints/enforcement.,,,Department of Environmental Protection,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d8b67adeae5,Use 311 or another channel,channel,DOT directs this request to be entered via 311.,,https://portal.311.nyc.gov/article/?kanumber=KA-01064,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d9043273d5d,Contact agency,redirect,DOHMH defers on HomeStat to the Mayor's Office of Operations and DSS.,,,Mayor's Office of Operations; Department of Social Services,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8d9245e8afa4,Track with agency,status,OMB confirms this is a funded FY23 Executive Budget line item.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8da38daf7f44,Contact agency,reconsider,H+H says a Level I Trauma Center is cost-prohibitive; existing capacity is adequate.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8da6f13302d8,Track with agency,status,OMB says capital funding was already provided to address this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8db3984a62bf,No follow-up needed,none,DHS already increased security guards and peace officers in shelters per NYPD evaluation.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8dbe696b46b1,Contact agency,discuss,Further study and investigation needed; OMB says contact the agency.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8dc70e114a76,Contact elected officials,funding,Parks Forestry funding restored to pre-COVID levels but backlog funding is undetermined.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8dcd7557acb1,No follow-up needed,none,CB6 already connected with Bronx Community College and has an on-campus office.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e0464a19894,Contact agency,reconsider,DOT says this street was de-mapped and is illegally closed by private gates.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e0c3e738629,Contact agency,reconsider,DOT won't fund standalone trench restoration; folds it into broader street reconstruction.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e0dc2435fc0,Track with agency,status,Parks project is in FY20 departmental estimates; citywide funds maintained in Executive Budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e0ec21af3ca,Contact agency,reconsider,"DOT/EDC are selling city parking facilities, precluding funds for new parking construction.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e20e99c3905,Contact agency,discuss,NYCHA needs significant funding; OMB says contact agency for further investigation.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e2a97421b51,Contact agency,study,DOT has received this request but the resolution is not yet clear.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e2cc3ab4ef6,Contact agency,discuss,Agency declines but strongly urges board to contact it directly for information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e309f669f8f,No follow-up needed,none,DYCD says this is completed; funds a Learn and Earn program for at-risk youth.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e46b3dd7339,Contact elected officials,funding,Parks lacks capital funding for a new terrace overlook at Shore Road Park.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e51c9054dac,Track with agency,status,EDC designated East Harlem/125th St for NYC Ferry expansion; planning begins in 2026.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
8e5a93e295ef,Contact elected officials,funding,Parks lacks capital funding to install new lighting at Brower Park.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8e6135bea962,Track with agency,status,OMB says this request has already been funded.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8e979028dba4,Contact elected officials,funding,Project has partial capital funding but faces a shortfall; H+H seeks funds to close it.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
8ea6b1189c1a,Contact agency,discuss,Dog run needs a stewardship group; work with Bronx Parks Operations team.,Bronx Parks Operations team,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8eaddb1c89b5,Contact agency,discuss,NYPL supports but cannot accommodate; contact NYPL to discuss.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8eb0b89b0f75,Use 311 or another channel,channel,Lighting requests go directly to DOT outside the budget process.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8eb16a2b4578,Contact agency,clarify,DOT/NYCHA will inspect ramps for ADA compliance; needs specific locations from the board.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8eb69928d8c7,Contact elected officials,funding,DSNY not funded for additional drop-off locations or SAFE events.,,https://www.nyc.gov/site/dsny/what-we-do/programs/special-waste-drop-off.page,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8ec18e6b584e,No follow-up needed,none,FDNY says all firehouses already have trash pumps for storm debris removal.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8ec9feafd50e,Contact elected officials,funding,SCA says funding is not available for this capital request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8edbbb04f5e5,Contact agency,discuss,DOT's 111th Street curb project is in design; OMB says contact agency for a status update.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8ef24c24febb,Contact agency,discuss,Doesn't meet capital funding eligibility requirements; OMB says contact the agency.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8efc6e109b7d,Contact elected officials,funding,DPR needs funding; reach out to your respective elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8f07e46c5517,Contact agency,clarify,Parks lacks funding for the bridge; needs more details on the rehabilitation scope.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f12b665415c,Contact elected officials,funding,Parks lacks capital funding; some improvements may come via NYS DOT separately.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f428b9f6f24,Contact agency,reconsider,DOT says lighting here is already sufficient; report any outage via this link.,,https://service.nyctmc.org/alias3/sl.asp,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f496f103894,Track with agency,status,BPL project's design phase has commenced.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f5104bb0f2d,Contact agency,reconsider,FDNY already provides beach emergency coverage with NYPD and Parks partners.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f583fab679c,Contact agency,discuss,Multi-project request partly funded/underway; contact DPR for specifics.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8f60d6f9128a,Track with agency,status,The Administration is discussing Community Board Planning needs given budget constraints.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f8236c87d79,Contact agency,discuss,DOT declines; OMB directs board to discuss with Borough Commissioner's office.,Borough Commissioner's office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8f84f8c7264a,No follow-up needed,none,SCA says auditorium seating and cafeteria tables have already been completed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f86140a8ab8,Contact agency,redirect,DOT says flooding capital projects should go to DEP.,,,Department of Environmental Protection,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8f962f3ea110,Contact agency,discuss,"DOT declines; both agency and OMB say further investigation is needed, contact agency.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f9b3f08ca5c,Contact agency,clarify,HRA says more information is needed to evaluate this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8f9be6e09e55,Contact elected officials,funding,Parks funding must be allocated by local elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8fa2e0d26b4b,No follow-up needed,none,Parks already has boardwalk carpenters hired year-round for this work.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8fa72e041826,Contact elected officials,funding,DPR supports Shore Road Park repairs but lacks capital funding.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8fc7d7fa897f,Contact agency,discuss,Approval depends on federal/state funds; OMB says contact the agency to investigate.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8fcce0a6d8f6,Track with agency,status,DCAS received the CB's relocation request; awaiting OMB approval to search for a site.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8fd8fa41a5ca,No follow-up needed,none,"Site was inspected; no additional lighting needed, minor repairs made.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8fdcb32b799a,Track with agency,status,OMB says this request has already been funded; Parks addresses hazards via Tree Risk Management.,,https://www.nycgovparks.org/services/forestry/risk-management,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8fe91a431a54,Contact elected officials,funding,Parks lacks capital funding; availability cannot be determined at this time.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
8ff575c59616,Contact agency,discuss,Multiple funding streams; DOE will accommodate part; contact DOE for details.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
8fff5a73a676,Contact agency,discuss,NYPL request has multiple proposals; OMB says it's recommended for funding in part.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
900a0c67250d,Track with agency,status,Project is included in FY 2023 departmental capital estimates.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
900c21c43ba4,No follow-up needed,none,HRA says this is completed; funding is in place for tenant eviction legal services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9019d0c66562,Contact agency,discuss,NYPD narcotics resources are borough-wide; bring complaints to precinct commander.,local precinct commander,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
901b4a0d4453,Track with agency,status,DOT continues to engage the MTA on this and will share updates as available.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
9022c535ebee,Use 311 or another channel,channel,"Citizen Pruner program is run by Trees New York, a separate nonprofit.",info@treesny.org,https://treesny.org/,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
9029fdb829f9,Contact elected officials,funding,DOHMH says additional funding is needed but no resources are currently available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90471ab045a7,Contact elected officials,funding,Capital funds for the 116th Precinct Stationhouse were eliminated; funding needed to restart.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
905426da07dc,Contact elected officials,advocacy,DCWP will try to accommodate this; OMB notes the program is run by the state.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
905b13a5a3f4,Contact elected officials,funding,Parks needs funding to address recurring sinkholes on the Hudson River Greenway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
905fde03e171,Track with agency,status,DOE is expanding Pre-K availability citywide; some of this may need capital funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90609b41f41d,Contact agency,discuss,"Not capital-eligible; OMB says further study is needed, contact the agency.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90619825c73a,Track with agency,status,"Project funded previously, scope underway; included in the agency's Ten-Year Plan.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9067e9aff870,Contact agency,reconsider,DCP says this request is outside its jurisdiction.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
906a9f03167c,Track with agency,status,Parks funded Gonzalo Plasencia Playground improvements; design completes spring 2025.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9075b869ba0e,Contact agency,study,OMB says further agency study is needed on this CTE programming request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
908243462411,Contact elected officials,funding,Parks funds are insufficient; recommends bringing this to your Council Members.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9090331f037c,Contact agency,discuss,DOE asks board to contact DSF for more information.,DSF,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
90992800b252,Track with agency,status,"DEP project funded previously; construction contract let, included in ten-year plan.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90a0ed813847,Contact elected officials,funding,OMB funded a scope study for this project; overall funding availability remains uncertain.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90a171e9e753,Contact agency,clarify,DOT needs specific location info; log resurfacing requests via webform.,,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
90aa4686171a,Contact agency,discuss,OMB says NYPD will accommodate only part of this staffing request.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
90af5fd07b59,Contact agency,discuss,DCWP already prioritizes language access and is staffing up its outreach team.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90b7b20db91e,Track with agency,status,Project was funded in a prior fiscal year; the scope is now underway.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90bef3a61f89,Track with agency,status,NYPD's boiler/heating project is in design; ADA accessibility project is in pre-design.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
90c4a9ef9733,Contact elected officials,funding,DOT lacks capital funds for Morton Street bike infrastructure at this time.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90c967244350,Contact agency,reconsider,DSNY is not charged with enforcing pigeon feeding rules or regulations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90cefb67c825,Contact elected officials,funding,Parks lacks capital funding for Fulton Park; notes a Raymond Bush Playground naming mismatch.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
90f60010afcd,Contact agency,discuss,Further study and investigation needed; OMB says contact the agency.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
912e3441ee99,Contact elected officials,funding,Parks needs funding to renovate; recommends contacting Borough President or Council Member.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
914f5d427d51,Track with agency,status,Street outreach funding has more than doubled; agency can now accommodate.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
91526492d930,No follow-up needed,none,Agency says this project was completed or finished by FY 2019.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
915c6f388b5d,Contact agency,discuss,Agency declines but urges board to contact it directly for information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
915f097b96b9,Track with agency,status,"DOT's planned project will remove and reinstall rails, coordinating with FRA and SHPO.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9164b687c238,No follow-up needed,none,DYCD already funds literacy programs; more programs depend on funding and the RFP process.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9175aa0818de,Track with agency,status,DOT's New Utrecht Ave reconstruction project is scheduled to begin construction in FY27.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91875858321a,Contact elected officials,funding,NYC Aging says it will need additional funding for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
918d288f3c1a,Contact agency,discuss,DFTA says this request is under review; OMB says contact the agency.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
918e392cd6d7,Contact agency,clarify,DOT needs the specific intersection; provide details to look into it.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
9195878b9237,Use 311 or another channel,channel,DOT plaza program accepts sponsor applications online each round.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
919e29b196bf,Contact elected officials,funding,Jefferson Market HVAC project is unfunded; OMB recommends elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
919ef7f49753,Contact agency,discuss,Project funded and underway; OMB says contact the relevant agency about zoning issues.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91a1981960c6,Contact agency,study,Parks will study the site to determine scope; additional funding may be needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91a34d28fe78,Contact elected officials,funding,Parks has no capital funding allocated for this project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91aa7e9cde84,Track with agency,status,OMB says Sanitation Enforcement funding is already baselined in the expense budget.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91af29049df2,Contact agency,clarify,DOT will consider Audible Pedestrian Signals by location; needs a list of specific sites.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91ba33ab77d3,Contact elected officials,funding,NYPD made major command improvements already; funding constraints limit further advancement.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91ba6819210c,Contact elected officials,funding,Parks supports added maintenance staff but lacks expense funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91c2ac89edc7,Contact elected officials,funding,Construction begins shortly; additional capital appropriations needed for contingency/outfitting.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91c48d176c8c,Contact elected officials,funding,Parks says more funding would help but availability is undetermined; resubmit later.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91c4b5f160db,Track with agency,status,Parks has $5.223M funded for Pena Herrera Playground; entering procurement stage.,,https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/10380,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91c9b20687bd,Contact agency,discuss,DOT patrols already respond to conditions/complaints; OMB says contact agency to investigate.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91d189f4655d,Use 311 or another channel,channel,SBS offers financing assistance via NYC Funds Finder and its Hotline.,SBS Hotline (888) SBS-4NYC,nycfundsfinder.nextstreet.com,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
91d795c38326,No follow-up needed,none,NYPD says this request has already been completed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
91f3699c0f2f,No follow-up needed,none,"DYCD already funds community centers, sports, and afterschool programs in the district.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
9205385b390d,Contact agency,redirect,DOB says this isn't its jurisdiction; refers board to OMB.,,,Office of Management & Budget,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
920c9422aaee,No follow-up needed,none,HPD says this is completed; preservation programs continue citywide.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
